Date,Open,High,Low,Close,Adj Close,Volume
24-08-2018,2035.099976,2046,2031,2043,1852.323608,1570533
27-08-2018,2043,2059,2035,2050.899902,1859.486206,1532702
28-08-2018,2055,2072,2052,2069.199951,1876.078003,1987983
29-08-2018,2072.5,2076.600098,2045.599976,2072,1878.616699,1525867
30-08-2018,2068,2085,2065.5,2082.399902,1888.045532,2408020
31-08-2018,2082.300049,2092,2074,2078.399902,1884.419312,2504554
03-09-2018,2084.800049,2090,2048.399902,2052.899902,1861.299316,1439711
04-09-2018,2059.800049,2104.75,2056.949951,2098.899902,1903.006226,4420803
05-09-2018,2100,2107.25,2075.050049,2079.25,1885.190308,1681106
06-09-2018,2075,2081.5,2060.300049,2075.300049,1881.608887,2238097
07-09-2018,2079.300049,2084,2065.399902,2079.850098,1885.734375,1312182
10-09-2018,2084.399902,2093.399902,2074.25,2080.75,1886.550049,1530539
11-09-2018,2089,2089,2042.199951,2046.25,1855.270142,3679745
12-09-2018,2052.350098,2068.899902,2040,2043.949951,1853.18457,2307661
14-09-2018,2044,2071.550049,2018.150024,2065.399902,1872.632568,3642038
17-09-2018,2070,2077.800049,2054.550049,2074.149902,1880.566162,1033857
18-09-2018,2073,2078.800049,2057.600098,2070.75,1877.483521,1456507
19-09-2018,2071.899902,2089,2066.850098,2077.899902,1883.966064,1301268
21-09-2018,2077,2121,2050.149902,2103.149902,1906.859131,4508530
24-09-2018,2115,2210.5,2098.149902,2198.449951,1993.265137,3032226
25-09-2018,2204.899902,2211.899902,2153.800049,2183.199951,1979.43811,2868778
26-09-2018,2187,2199,2135.100098,2142.149902,1942.21936,1970951
27-09-2018,2141.899902,2209.699951,2135.800049,2188.850098,1984.560913,3311802
28-09-2018,2178,2190,2158.850098,2183.699951,1979.891846,2904371
01-10-2018,2190.899902,2275.949951,2190.350098,2255.550049,2045.0354,3772208
03-10-2018,2250.300049,2255,2155.600098,2162.850098,1960.987915,3902322
04-10-2018,2156.600098,2156.649902,2056.350098,2064.800049,1872.089111,4762419
05-10-2018,2050,2120,2020.900024,2102.649902,1906.40625,3417624
08-10-2018,2102.649902,2122.199951,2048.149902,2077.550049,1883.648682,2010154
09-10-2018,2080.350098,2107.649902,2053.199951,2091.800049,1896.568726,1867130
10-10-2018,2100,2105.949951,2029,2043.599976,1852.86731,2749573
11-10-2018,1985,2013,1941,1979.949951,1795.157837,4700256
12-10-2018,1978,1978,1903,1918.300049,1739.261841,9373289
15-10-2018,1940,1955.550049,1920,1949.5,1767.550049,2638151
16-10-2018,1958,1971.900024,1935,1962.300049,1779.155396,2815425
17-10-2018,1970,1989,1920,1929.400024,1749.325806,2779207
19-10-2018,1929,1929,1870.050049,1913.199951,1734.637939,3428776
22-10-2018,1914,1916,1886.949951,1903,1725.390015,1778496
23-10-2018,1888,1898,1837,1843.650024,1675.100098,2752811
24-10-2018,1852.050049,1874,1811.099976,1848.5,1679.506592,2735913
25-10-2018,1844,1876.900024,1825.050049,1853,1683.595337,2507233
26-10-2018,1853.900024,1853.900024,1791.099976,1799.099976,1634.622559,2285970
29-10-2018,1808.699951,1877.949951,1784.349976,1871,1699.949341,2609483
30-10-2018,1867,1909.400024,1845,1894.800049,1721.573975,2404883
31-10-2018,1900,1943.900024,1875.449951,1938.150024,1760.960693,2769190
01-11-2018,1943.650024,1944.349976,1901.300049,1935.75,1758.780273,2769759
02-11-2018,1934.199951,1954.599976,1905,1913.449951,1738.518799,1818635
05-11-2018,1910,1927.349976,1884.75,1890.849976,1717.984985,1713366
06-11-2018,1894,1937.5,1891,1932.699951,1756.008789,1398710
07-11-2018,1940,1949,1937,1942.150024,1764.594849,144530
09-11-2018,1961,1961.949951,1905,1909.199951,1734.657227,2570479
12-11-2018,1908.5,1946.099976,1908.5,1914.849976,1739.790771,2552008
13-11-2018,1915,1939,1903,1934.949951,1758.053345,1418432
14-11-2018,1925,1929.900024,1870,1880.650024,1708.717285,2422318
15-11-2018,1864,1899,1857.599976,1872.849976,1701.630493,1829123
16-11-2018,1889,1899.800049,1870.25,1886.599976,1714.123535,1829729
19-11-2018,1899,1907.349976,1864.300049,1902.449951,1728.524292,1740628
20-11-2018,1902,1902,1874.199951,1878.25,1706.536743,1190182
21-11-2018,1871,1871.050049,1798.550049,1812,1646.343628,3840461
22-11-2018,1820,1847.599976,1809.949951,1812.550049,1646.843018,3194219
26-11-2018,1819,1860,1784.5,1846.099976,1677.325928,4333177
27-11-2018,1854,1897.900024,1835.349976,1890.25,1717.439941,3344839
28-11-2018,1889,1989,1882.5,1983.900024,1802.527954,5313249
29-11-2018,1997,1997,1942.550049,1960.550049,1781.312988,4035441
30-11-2018,1966,1991,1959.849976,1968.25,1788.309082,5268901
03-12-2018,1984,1990,1968.300049,1982.400024,1801.165527,1610576
04-12-2018,1983,2019.400024,1971,2010.849976,1827.014404,3270615
05-12-2018,2006,2018,1985,2006.75,1823.289429,2501539
06-12-2018,1998,2017,1979.599976,1992.699951,1810.523926,2321216
07-12-2018,1985.050049,2003.900024,1973,1995.199951,1812.795166,1680420
10-12-2018,1975,2011,1960,1975.800049,1795.168701,2010786
11-12-2018,1970,2010,1961,2000,1817.15625,2942014
12-12-2018,2001.099976,2022,1984.949951,2016.800049,1832.42041,2219993
13-12-2018,2024,2029.699951,1974.5,1982.599976,1801.347168,3748429
14-12-2018,1983,1998.949951,1975.25,1989.75,1807.843384,2473761
17-12-2018,1999,2004.900024,1985,1994.300049,1811.977661,1227921
18-12-2018,1991.900024,2002,1976.400024,1987.849976,1806.116943,1768742
19-12-2018,1984.800049,1984.800049,1960.050049,1968.449951,1788.490356,2498833
20-12-2018,1953.800049,1974.900024,1946,1954.050049,1775.407104,1940277
21-12-2018,1948,1950,1886.550049,1895.800049,1722.482544,3729956
24-12-2018,1905.800049,1938.900024,1905,1918.5,1743.107056,1864116
26-12-2018,1921.800049,1921.800049,1870.25,1889.199951,1716.485962,2446614
27-12-2018,1909,1941.699951,1872.099976,1908.949951,1734.430176,4968201
28-12-2018,1915,1920,1893,1896.050049,1722.709717,2239130
31-12-2018,1908,1909,1886.150024,1893.050049,1719.983887,1879740
01-01-2019,1896,1910,1885,1902.800049,1728.842651,1094883
02-01-2019,1905,1934.449951,1900,1923.300049,1747.468384,2100463
03-01-2019,1919,1944.949951,1893.099976,1899.949951,1726.25293,2611668
04-01-2019,1900,1901.199951,1841,1876.849976,1705.264893,4280862
07-01-2019,1891.800049,1908.800049,1881,1897.900024,1724.390381,1856423
08-01-2019,1905.400024,1906.400024,1883.300049,1893.550049,1720.438477,1691756
09-01-2019,1907.400024,1919,1866.699951,1886.949951,1714.441406,2414376
10-01-2019,1890,1905,1872.099976,1888.550049,1715.895264,3053461
11-01-2019,1870,1875,1835,1842.550049,1674.100708,9209862
14-01-2019,1850,1851,1810,1813.25,1647.47937,3615370
15-01-2019,1810,1869.349976,1808,1867.800049,1697.042236,7711653
16-01-2019,1870,1875,1847,1870.150024,1699.177734,2359280
17-01-2019,1878,1898,1871.300049,1894.300049,1724.808594,2625816
18-01-2019,1881,1904.199951,1876,1900.650024,1730.590576,1683728
21-01-2019,1902,1932,1895.449951,1908.699951,1737.92041,2409803
22-01-2019,1907.099976,1918.25,1890,1901.900024,1731.728394,2457093
23-01-2019,1901,1906.099976,1870,1875.599976,1707.781616,2578169
24-01-2019,1884.800049,1905.25,1875,1901.550049,1731.40979,1962927
25-01-2019,1902,1935,1901,1920.800049,1748.9375,2327080
28-01-2019,1933,1962,1925.5,1955,1780.077393,2769033
29-01-2019,1962,1989.050049,1936.650024,1982.75,1805.344727,2557626
30-01-2019,1979.599976,1989.5,1954.650024,1981.400024,1804.115356,2429575
31-01-2019,1987,2019.75,1985,2014.099976,1833.889282,4094319
01-02-2019,2009.5,2034.75,1998.099976,2029.949951,1848.321411,3064163
04-02-2019,2029.949951,2055.449951,2023,2050.25,1866.805054,1590764
05-02-2019,2050,2055,2028,2044.550049,1861.615234,1111404
06-02-2019,2049.899902,2086.850098,2041.050049,2074.800049,1889.158691,1789812
07-02-2019,2074.75,2097.949951,2067,2082.899902,1896.533447,1339945
08-02-2019,2075,2089.5,2051,2061.399902,1876.95752,1684474
11-02-2019,2060,2096,2048.899902,2065.899902,1881.05481,1778730
12-02-2019,2070,2070,2018,2051.600098,1868.034424,2422903
14-02-2019,2060.050049,2075,2033.050049,2044.599976,1861.6604,1724085
15-02-2019,2049,2052,2010.949951,2029.699951,1848.093506,1930065
18-02-2019,2037.599976,2041.949951,1962.650024,1970.300049,1794.008545,2942184
19-02-2019,1970,1971,1892,1904.800049,1734.369019,4408554
20-02-2019,1915,1933.800049,1881.300049,1914.75,1743.429077,4645778
21-02-2019,1914.75,1940,1897.050049,1914.199951,1742.927979,4683919
22-02-2019,1917.199951,1930,1905.099976,1925.650024,1753.353394,2271955
25-02-2019,1932.5,1990,1930.5,1985.150024,1807.530029,2934880
26-02-2019,1984,2045.150024,1972.25,2038.699951,1856.288818,6453309
27-02-2019,2040,2074.949951,2022,2058.100098,1873.952881,4732082
28-02-2019,2060,2071.350098,1977.599976,1983.449951,1805.981934,8454295
01-03-2019,1995.050049,2005,1980.349976,1995.400024,1816.862915,4148548
05-03-2019,2005,2007,1976.599976,1988.099976,1810.21582,2449622
06-03-2019,1989.300049,2015,1985.050049,1999.599976,1820.687012,2635047
07-03-2019,2005,2024.050049,2000.199951,2013.300049,1833.161133,2539884
08-03-2019,2025,2033,2010.050049,2022.699951,1841.719971,2031071
11-03-2019,2028.900024,2033,2003.650024,2014.800049,1834.527222,3111689
12-03-2019,2014.050049,2024.800049,2003,2012.449951,1832.387207,2658550
13-03-2019,2013,2015.900024,1978.599976,2000.5,1821.506348,1833163
14-03-2019,2004.949951,2007.800049,1981,1987.400024,1809.578735,1905495
15-03-2019,1998.900024,2068.949951,1991,2039.949951,1857.426636,5184318
